Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2024,6,1,8.8,2.2,3.2,4,-,-,-,6.3,25.6
Marina Barrage,2024,6,2,4.4,1.8,2.6,4,-,-,-,4.3,23.3
Marina Barrage,2024,6,3,0.2,0.2,0.2,0.2,-,-,-,4.3,19.4
Marina Barrage,2024,6,4,0.2,0.2,0.2,0.2,-,-,-,3.8,22
Marina Barrage,2024,6,5,0,0,0,0,-,-,-,5.6,18.7
Marina Barrage,2024,6,6,23.2,17,23.2,23.2,-,-,-,4.7,30.2
Marina Barrage,2024,6,7,0.2,0.2,0.2,0.2,-,-,-,4.1,15.6
Marina Barrage,2024,6,8,3,3,3,3,-,-,-,5.2,25.2
Marina Barrage,2024,6,9,0.4,0.4,0.4,0.4,-,-,-,5.9,24.8
Marina Barrage,2024,6,10,0,0,0,0,-,-,-,5.4,23
Marina Barrage,2024,6,11,0,0,0,0,-,-,-,3.9,32.4
Marina Barrage,2024,6,12,0,0,0,0,-,-,-,4.7,24.1
Marina Barrage,2024,6,13,0,0,0,0,-,-,-,4,20.2
Marina Barrage,2024,6,14,0,0,0,0,-,-,-,4.6,20.9
Marina Barrage,2024,6,15,3.8,3.6,3.6,3.8,-,-,-,5,22.4
Marina Barrage,2024,6,16,42.8,36.8,41.2,41.6,-,-,-,5.8,31.3
Marina Barrage,2024,6,17,0,0,0,0,-,-,-,8.2,42.4
Marina Barrage,2024,6,18,0.2,0.2,0.2,0.2,-,-,-,4.9,28.5
Marina Barrage,2024,6,19,0,0,0,0,-,-,-,7,29.4
Marina Barrage,2024,6,20,19,18,18.2,18.2,-,-,-,6.2,34.3
Marina Barrage,2024,6,21,24.2,9.2,12,18.2,-,-,-,8.8,45.7
Marina Barrage,2024,6,22,41,15.8,23.2,31,-,-,-,9.5,45.7
Marina Barrage,2024,6,23,0,0,0,0,-,-,-,6.2,22
Marina Barrage,2024,6,24,0,0,0,0,-,-,-,7.1,22.6
Marina Barrage,2024,6,25,0,0,0,0,-,-,-,3.6,20.2
Marina Barrage,2024,6,26,0.6,0.6,0.6,0.6,-,-,-,4.5,22
Marina Barrage,2024,6,27,0,0,0,0,-,-,-,4.5,18.7
Marina Barrage,2024,6,28,0,0,0,0,-,-,-,3.3,25.6
Marina Barrage,2024,6,29,32,30.4,30.8,32,-,-,-,4.3,38.9
Marina Barrage,2024,6,30,29,14.2,19,25,-,-,-,5.7,40
