Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Clementi,2024,12,1,     0.0,     0.0,     0.0,     0.0,    28.6,    33.1,    25.7,     5.4,    24.8
Clementi,2024,12,2,     1.4,     1.4,     1.4,     1.4,    27.7,    31.9,    26.0,     4.0,    20.6
Clementi,2024,12,3,    12.2,     4.2,     6.6,     9.0,    27.6,    33.1,    25.1,     3.3,    22.6
Clementi,2024,12,4,     0.2,     0.2,     0.6,     0.6,    28.0,    32.2,    25.5,     4.0,    19.1
Clementi,2024,12,5,     0.0,     0.0,     0.0,     0.0,    28.9,    32.5,    26.0,     5.9,    29.1
Clementi,2024,12,6,     0.0,     0.0,     0.0,     0.0,    29.9,    35.2,    26.2,     4.6,    24.4
Clementi,2024,12,7,     0.0,     0.0,     0.0,     0.0,    30.0,    34.6,    26.5,     6.1,    29.4
Clementi,2024,12,8,     1.2,     1.2,     1.2,     1.2,    28.7,    34.5,    26.6,     5.6,    34.6
Clementi,2024,12,9,     1.0,     0.4,     0.8,     0.8,    26.5,    30.6,    24.8,     8.2,    33.2
Clementi,2024,12,10,     0.0,     0.0,     0.0,     0.0,    27.2,    30.5,    24.9,     8.2,    30.2
Clementi,2024,12,11,     1.8,     1.8,     1.8,     1.8,    28.6,    33.8,    25.7,     5.0,    22.4
Clementi,2024,12,12,     0.0,     0.0,     0.0,     0.0,    28.1,    30.7,    25.8,     5.3,    23.3
Clementi,2024,12,13,    10.4,     5.2,     6.8,     8.2,    27.2,    29.3,    23.9,     4.0,    27.0
Clementi,2024,12,14,     1.2,     1.2,     1.2,     1.2,    29.0,    33.9,    25.9,     5.0,    21.7
Clementi,2024,12,15,     0.0,     0.0,     0.0,     0.0,    29.0,    34.7,    26.4,     4.6,    21.3
Clementi,2024,12,16,     0.4,     0.4,     0.4,     0.4,    27.8,    35.4,    25.9,     4.5,    25.2
Clementi,2024,12,17,     0.0,     0.0,     0.0,     0.0,    28.0,    33.6,    25.9,     4.9,    29.4
Clementi,2024,12,18,     1.8,     1.8,     1.8,     1.8,    26.3,    27.9,    24.8,     6.2,    30.9
Clementi,2024,12,19,     0.0,     0.0,     0.0,     0.0,    27.2,    29.6,    25.3,     6.2,    30.2
Clementi,2024,12,20,     1.0,     0.8,     1.0,     1.0,    26.8,    30.2,    24.9,     6.4,    29.4
Clementi,2024,12,21,     5.0,     4.6,     4.8,     5.0,    27.1,    32.2,    25.2,     5.7,    33.9
Clementi,2024,12,22,     0.0,     0.0,     0.0,     0.0,    27.7,    31.8,    25.7,     7.0,    30.2
Clementi,2024,12,23,    53.0,    10.2,    16.4,    19.6,    26.2,    31.3,    24.2,     5.3,    28.2
Clementi,2024,12,24,     3.6,     2.4,     2.4,     5.6,    26.2,    31.6,    24.3,     5.1,    28.2
Clementi,2024,12,25,     0.0,     0.0,     0.0,     0.0,    27.3,    31.9,    25.0,     5.3,    28.9
Clementi,2024,12,26,     0.2,     0.2,     0.2,     0.2,    27.4,    31.3,    24.9,     3.3,    20.9
Clementi,2024,12,27,     0.2,     0.2,     0.2,     0.2,    27.9,    33.6,    25.8,     4.9,    24.1
Clementi,2024,12,28,     2.6,     2.0,     2.4,     2.6,    28.0,    32.3,    25.4,     6.8,    31.7
Clementi,2024,12,29,    70.4,    40.0,    55.6,    67.8,    26.8,    32.7,    23.0,     6.0,    30.6
Clementi,2024,12,30,     3.0,     1.6,     1.8,     3.0,    26.3,    31.5,    23.5,     5.5,    28.2
Clementi,2024,12,31,    35.8,    17.2,    20.2,    34.8,    26.6,    31.9,    23.5,     5.1,    32.4
